"""m2.price"",""construction.year"",""surface"",""floor"",""no.rooms"",""district"""
"2656,1994,129,2,5,""Bielany"""
"3092,1927,106,6,5,""Praga"""
"4345,1969,66,2,2,""Zoliborz"""
"3315,1995,98,8,4,""Zoliborz"""
"2792,1936,126,1,5,""Wola"""
"3661,1934,114,9,4,""Mokotow"""
"2747,1998,140,6,5,""Bemowo"""
"3241,1983,86,1,4,""Ursynow"""
"2866,1968,113,2,4,""Ursynow"""
"3776,1966,62,8,2,""Ochota"""
"3764,1997,39,8,1,""Wola"""
"3742,2003,46,7,2,""Bemowo"""
"2112,1988,129,8,4,""Ursus"""
"4276,1999,72,8,2,""Ochota"""
"2926,1991,87,4,4,""Bemowo"""
"2849,1945,105,3,4,""Praga"""
"3424,1941,53,3,3,""Bemowo"""
"3360,1962,129,4,5,""Zoliborz"""
"4221,1991,43,6,1,""Mokotow"""
"2592,1949,91,7,4,""Bielany"""
"4220,1924,118,3,4,""Mokotow"""
"4147,1996,55,2,2,""Ursus"""
"2715,1994,93,6,3,""Bemowo"""
"2175,1992,133,7,4,""Ursynow"""
"2666,1992,133,2,4,""Praga"""
"4164,1955,44,6,2,""Ochota"""
"4117,1980,33,8,1,""Ochota"""
"3702,1971,50,1,2,""Praga"""
"4578,1970,42,2,2,""Zoliborz"""
"2647,1994,95,6,4,""Bemowo"""
"2639,2004,126,9,4,""Wola"""
"3206,1976,69,4,2,""Wola"""
"3001,2009,100,8,4,""Ursus"""
"5894,1922,91,1,4,""Srodmiescie"""
"2543,1987,126,4,4,""Bemowo"""
"3285,1962,51,5,2,""Ursynow"""
"3577,1932,37,10,1,""Wola"""
"4968,1937,98,4,3,""Srodmiescie"""
"2968,1925,83,10,4,""Praga"""
"2894,1975,56,8,3,""Ursus"""
"2269,1989,138,5,5,""Wola"""
"2491,1981,136,3,5,""Bemowo"""
"5142,1922,101,8,3,""Srodmiescie"""
"3969,1969,78,4,3,""Mokotow"""
"3304,1931,55,10,3,""Ursus"""
"3728,1966,82,6,3,""Ochota"""
"2792,1935,126,1,5,""Ursynow"""
"4758,1934,59,4,3,""Zoliborz"""
"3248,2009,70,9,3,""Wola"""
"3737,1985,31,3,1,""Wola"""
"3320,1994,93,9,3,""Zoliborz"""
"1732,1957,137,10,6,""Bielany"""
"3449,1953,130,3,5,""Zoliborz"""
"2938,2005,131,5,5,""Praga"""
"1899,1941,130,10,4,""Bielany"""
"3813,1934,119,7,4,""Ochota"""
"4056,1938,24,9,2,""Ochota"""
"3775,1997,23,9,2,""Ursynow"""
"2341,1940,131,5,5,""Praga"""
"3112,1970,44,8,1,""Wola"""
"3828,1960,32,2,1,""Praga"""
"3127,1983,37,8,2,""Bemowo"""
"2186,1964,131,7,4,""Wola"""
"5039,1921,51,2,3,""Mokotow"""
"3762,1933,24,9,2,""Ursus"""
"3215,1924,144,10,5,""Mokotow"""
"5378,1929,22,2,2,""Mokotow"""
"5384,1928,82,7,4,""Srodmiescie"""
"3382,1993,32,6,2,""Wola"""
"3539,1992,61,1,3,""Ursus"""
"2427,1999,137,9,6,""Bielany"""
"3604,1958,40,3,2,""Ursynow"""
"5133,1940,92,3,3,""Srodmiescie"""
"2886,1959,51,9,2,""Wola"""
"3273,1987,53,5,2,""Praga"""
"5072,1987,108,1,5,""Srodmiescie"""
"3520,2005,118,1,4,""Bielany"""
"3608,1939,124,2,5,""Mokotow"""
"3753,1993,45,10,2,""Mokotow"""
"3078,1940,112,9,4,""Zoliborz"""
"2570,2001,148,7,5,""Bielany"""
"3506,1957,34,5,1,""Ursynow"""
"2554,1965,90,8,3,""Bemowo"""
"3899,1975,35,10,1,""Ochota"""
"6595,1933,30,1,2,""Srodmiescie"""
"4613,1996,89,2,4,""Ochota"""
"3828,1951,27,2,2,""Wola"""
"4120,1996,28,5,2,""Bielany"""
"3143,1994,76,3,4,""Ursus"""
"2740,1932,116,9,4,""Ursynow"""
"5130,2002,112,6,5,""Srodmiescie"""
"2308,1968,149,3,6,""Wola"""
"3248,1949,100,9,3,""Ochota"""
"3429,1940,37,5,2,""Wola"""
"3573,1977,63,10,2,""Zoliborz"""
"2179,1985,127,7,5,""Ursus"""
"2376,1957,147,3,5,""Ursynow"""
"4133,1987,137,7,6,""Srodmiescie"""
"3475,1975,78,9,3,""Mokotow"""
"3786,1937,61,8,2,""Ochota"""
"3095,2002,81,9,4,""Bielany"""
"3343,1935,81,1,3,""Bielany"""
"4189,1993,106,10,5,""Srodmiescie"""
"4131,1935,132,2,5,""Mokotow"""
"3086,1949,116,8,5,""Mokotow"""
"3689,1972,31,3,2,""Bemowo"""
"3812,1998,144,4,5,""Mokotow"""
"4408,1949,104,9,3,""Srodmiescie"""
"2031,1974,127,9,4,""Wola"""
"4019,1973,23,10,1,""Mokotow"""
"2710,2007,109,10,4,""Praga"""
"3474,1941,53,3,2,""Praga"""
"2076,1941,107,10,5,""Ursynow"""
"3681,2008,107,9,5,""Ochota"""
"2954,1996,130,5,5,""Wola"""
"3448,1927,55,9,2,""Ursynow"""
"2040,1958,141,7,5,""Ursynow"""
"5623,2008,118,1,4,""Srodmiescie"""
"2672,1945,113,4,4,""Praga"""
"4075,1927,107,5,5,""Zoliborz"""
"2898,1920,130,6,4,""Bemowo"""
"4507,1950,79,10,4,""Srodmiescie"""
"2454,1959,85,9,4,""Ursus"""
"5670,1930,103,2,4,""Srodmiescie"""
"3002,1968,105,2,3,""Bemowo"""
"2416,1948,93,9,3,""Praga"""
"2331,1971,102,9,3,""Bielany"""
"1802,1986,145,9,5,""Ursus"""
"3398,1990,65,2,3,""Ursynow"""
"3036,1950,131,7,5,""Ochota"""
"3184,1993,112,8,4,""Mokotow"""
"3323,1965,73,2,3,""Ursus"""
"1801,1984,150,8,6,""Wola"""
"2245,1940,110,8,5,""Bemowo"""
"3768,1998,148,4,5,""Mokotow"""
"3420,1937,53,3,3,""Ursus"""
"2962,1998,124,6,4,""Ursus"""
"3391,1927,131,1,4,""Ursus"""
"4144,1931,76,8,4,""Ochota"""
"2229,1952,122,7,5,""Wola"""
"4801,1957,70,9,2,""Srodmiescie"""
"4353,1939,45,4,2,""Ochota"""
"2667,2004,133,8,4,""Ursynow"""
"2273,1948,123,7,4,""Bielany"""
"4025,2008,107,6,4,""Zoliborz"""
"3903,1921,145,3,5,""Ochota"""
"4834,1937,67,9,2,""Srodmiescie"""
"3806,1926,94,1,3,""Bemowo"""
"2672,1944,93,6,4,""Bemowo"""
"3482,1921,77,6,3,""Ursynow"""
"4258,1938,49,4,3,""Ochota"""
"2722,1920,118,9,4,""Bemowo"""
"2216,1927,148,10,6,""Ursynow"""
"2699,1975,110,4,4,""Praga"""
"3140,1957,101,1,3,""Bemowo"""
"3740,1933,86,2,4,""Wola"""
"4358,1921,34,2,2,""Ursus"""
"3017,1941,33,10,1,""Praga"""
"3743,1936,31,3,1,""Ursynow"""
"2973,1954,93,3,4,""Praga"""
"2450,1946,90,9,3,""Praga"""
"4992,2007,111,8,4,""Srodmiescie"""
"2937,1944,101,3,3,""Bielany"""
"2927,1936,82,5,3,""Ursynow"""
"4295,1944,26,7,1,""Ochota"""
"3492,1931,86,5,3,""Praga"""
"4588,1939,31,3,2,""Mokotow"""
"3462,1983,134,3,4,""Ochota"""
"1987,1977,141,7,6,""Bemowo"""
"3316,1947,78,1,4,""Ursynow"""
"2664,1981,79,8,3,""Wola"""
"3120,1936,58,6,2,""Ursynow"""
"5956,1968,39,1,1,""Srodmiescie"""
"2510,1971,74,10,3,""Bielany"""
"3868,1935,103,8,4,""Zoliborz"""
"4304,1924,80,6,4,""Zoliborz"""
"4103,1989,75,3,3,""Zoliborz"""
"3449,2003,55,9,2,""Ursynow"""
"3062,1950,149,5,5,""Zoliborz"""
"2435,1975,142,3,5,""Wola"""
"3386,1951,56,3,3,""Ursus"""
"3374,1960,133,4,4,""Ochota"""
"2590,1972,141,10,6,""Zoliborz"""
"3270,2010,98,6,3,""Wola"""
"2746,1978,135,9,6,""Mokotow"""
"4634,1984,82,9,3,""Srodmiescie"""
"2933,1925,132,5,5,""Bemowo"""
"1837,1977,131,10,5,""Ursynow"""
"3282,1990,27,8,1,""Ursus"""
"2229,1941,122,7,5,""Bielany"""
"3325,1921,97,5,4,""Bielany"""
"1832,1944,132,10,5,""Praga"""
"3574,1964,63,1,2,""Wola"""
"3912,1956,24,2,1,""Bemowo"""
"4510,1969,114,6,5,""Srodmiescie"""
"3844,1965,76,5,4,""Mokotow"""
"3893,1956,31,1,2,""Bemowo"""
"2316,1993,88,10,4,""Wola"""
"4609,1980,49,1,2,""Mokotow"""
"3729,1992,127,1,4,""Mokotow"""
"2805,1931,115,8,5,""Praga"""
"3644,1948,46,2,2,""Wola"""
"3800,1933,115,7,5,""Zoliborz"""
"3560,1985,64,1,2,""Wola"""
"5943,1946,26,2,2,""Srodmiescie"""
"2401,1961,130,5,4,""Ursynow"""
"3234,1977,67,4,2,""Bemowo"""
"3603,1997,30,10,2,""Wola"""
"2344,1973,96,9,4,""Ursynow"""
"3556,1929,39,10,1,""Wola"""
"3054,1959,105,10,4,""Zoliborz"""
"3842,1925,76,2,4,""Ursus"""
"2194,1953,116,8,5,""Bielany"""
"3216,1975,48,6,2,""Bemowo"""
"4369,2001,108,2,5,""Mokotow"""
"6072,1929,23,7,2,""Srodmiescie"""
"4560,1990,34,3,2,""Ochota"""
"3626,1975,57,1,2,""Ursus"""
"4104,1929,95,7,3,""Mokotow"""
"5245,1949,50,6,3,""Srodmiescie"""
"3212,1961,64,4,3,""Ursus"""
"2928,1991,82,5,3,""Ursynow"""
"3791,1940,96,4,3,""Mokotow"""
"4699,1957,85,8,3,""Srodmiescie"""
"3478,1959,97,7,3,""Ochota"""
"2834,1926,122,7,5,""Wola"""
"2971,1933,83,10,4,""Ursus"""
"3249,1998,105,5,4,""Praga"""
"2675,1946,127,2,5,""Wola"""
"4336,1931,21,4,1,""Bielany"""
"3219,1989,48,6,2,""Ursynow"""
"3743,1981,111,2,5,""Mokotow"""
"3622,1925,108,10,4,""Mokotow"""
"3748,2000,75,3,4,""Ursus"""
"2994,2004,146,3,5,""Wola"""
"2830,1941,72,7,3,""Ursus"""
"2672,1968,78,8,3,""Bemowo"""
"3100,2008,125,4,5,""Ursus"""
"2738,1947,61,9,3,""Bemowo"""
"3095,1960,50,7,2,""Ursynow"""
"3770,1922,48,6,3,""Bielany"""
"2523,1968,113,5,5,""Ursus"""
"3192,1943,21,9,2,""Wola"""
"4227,1922,127,2,4,""Ochota"""
"4078,1932,37,5,1,""Bemowo"""
"2829,1967,127,1,4,""Praga"""
"3316,1942,38,6,2,""Ursynow"""
"3639,1997,66,6,2,""Bielany"""
"3340,1965,81,1,3,""Praga"""
"3147,1969,25,9,2,""Wola"""
"4355,2008,34,2,2,""Ursynow"""
"5455,1965,49,4,3,""Srodmiescie"""
"3192,1986,86,2,3,""Ursynow"""
"4334,1927,37,2,2,""Wola"""
"3455,1968,35,5,2,""Ursynow"""
"2372,1947,108,7,5,""Praga"""
"4280,2009,127,1,5,""Mokotow"""
"2419,1963,93,9,3,""Praga"""
"2412,1954,94,9,3,""Bemowo"""
"3930,1967,102,2,3,""Mokotow"""
"3365,1934,138,9,5,""Mokotow"""
"2797,1964,50,10,2,""Wola"""
"3695,1928,121,8,4,""Mokotow"""
"4708,1975,134,2,5,""Srodmiescie"""
"2592,1949,141,10,6,""Zoliborz"""
"3100,1959,30,9,2,""Praga"""
"2926,1931,142,4,5,""Bemowo"""
"2140,1988,121,8,5,""Wola"""
"4013,1947,54,6,3,""Ochota"""
"2417,1929,133,10,5,""Bemowo"""
"2932,1927,137,4,6,""Praga"""
"2741,1962,56,10,2,""Praga"""
"6017,2001,53,4,3,""Srodmiescie"""
"3899,1982,80,4,4,""Zoliborz"""
"3314,1979,49,5,2,""Wola"""
"3596,1926,100,2,4,""Bemowo"""
"3568,1928,68,6,3,""Bielany"""
"2775,2002,148,5,5,""Bielany"""
"2543,1968,91,8,3,""Wola"""
"2901,1953,80,5,4,""Ursynow"""
"2719,1991,83,7,3,""Wola"""
"2172,1942,143,5,6,""Bemowo"""
"2563,1981,139,2,5,""Wola"""
"4861,1938,109,3,5,""Srodmiescie"""
"1757,1959,144,9,6,""Praga"""
"5085,1980,72,6,2,""Srodmiescie"""
"2697,1990,95,6,3,""Praga"""
"5199,1992,80,3,4,""Srodmiescie"""
"5316,1983,33,8,1,""Srodmiescie"""
"4708,1946,104,6,3,""Srodmiescie"""
"2481,2003,147,8,5,""Bielany"""
"4302,1965,25,7,1,""Mokotow"""
"3871,1997,28,8,1,""Bielany"""
"3047,1981,110,9,5,""Mokotow"""
"2363,1939,84,10,4,""Wola"""
"2961,1994,99,3,3,""Praga"""
"4382,1997,87,5,3,""Ochota"""
"3288,1957,146,3,5,""Zoliborz"""
"4480,1934,62,7,2,""Ochota"""
"4700,1926,65,4,3,""Zoliborz"""
"3572,1938,33,4,2,""Wola"""
"2845,2006,111,8,5,""Wola"""
"2757,1991,84,6,4,""Bemowo"""
"3432,1954,67,2,2,""Ursynow"""
"4156,1956,124,9,4,""Srodmiescie"""
"2744,1999,146,5,6,""Ursus"""
"4143,1963,116,10,4,""Srodmiescie"""
"3984,2002,47,4,3,""Wola"""
"2004,1975,150,6,6,""Ursus"""
"3932,1977,87,3,4,""Ochota"""
"3086,1935,56,6,3,""Bemowo"""
"2664,1995,144,9,6,""Ochota"""
"4158,2005,39,4,1,""Bemowo"""
"4120,1944,38,7,2,""Mokotow"""
"3272,1955,63,4,2,""Wola"""
"2948,1945,110,1,5,""Bemowo"""
"4544,1982,46,2,2,""Ochota"""
"4307,1997,24,4,1,""Ursynow"""
"3002,1989,105,2,3,""Praga"""
"3100,2009,145,2,5,""Wola"""
"3131,1947,22,10,1,""Bielany"""
"2226,2002,147,10,6,""Praga"""
"2994,1946,41,9,2,""Praga"""
"2653,1965,90,7,3,""Bielany"""
"3671,1925,138,6,5,""Mokotow"""
"2316,1948,133,5,5,""Bemowo"""
"3120,1943,28,9,2,""Ursus"""
"2662,1941,89,7,3,""Ursus"""
"4655,1986,150,1,5,""Srodmiescie"""
"3669,1926,73,5,2,""Bemowo"""
"2057,1967,149,6,5,""Bielany"""
"3839,1958,66,7,2,""Mokotow"""
"3600,1934,80,4,4,""Bielany"""
"3229,1983,87,1,4,""Ursus"""
"2973,1924,83,10,4,""Bemowo"""
"4224,1987,73,2,3,""Zoliborz"""
"4174,1979,28,8,1,""Zoliborz"""
"3712,1973,119,2,4,""Ochota"""
"3061,2000,84,9,4,""Bielany"""
"2975,1996,147,3,5,""Ursus"""
"4134,1981,32,8,1,""Zoliborz"""
"4211,1922,24,5,1,""Bielany"""
"2742,1979,116,3,4,""Ursynow"""
"5477,1942,37,6,1,""Srodmiescie"""
"3817,1950,38,10,2,""Mokotow"""
"2851,1963,95,4,4,""Bemowo"""
"4309,1940,134,6,5,""Srodmiescie"""
"3936,1957,26,1,2,""Bemowo"""
"3091,2005,116,5,5,""Bemowo"""
"1773,1959,138,10,5,""Bemowo"""
"3135,1968,51,6,3,""Wola"""
"5488,1946,26,7,1,""Srodmiescie"""
"3091,1958,116,8,5,""Zoliborz"""
"3281,1985,127,5,5,""Zoliborz"""
"4415,1935,39,4,2,""Mokotow"""
"3339,1947,106,7,4,""Mokotow"""
"3497,1966,65,1,3,""Bemowo"""
"3091,1976,106,9,5,""Ochota"""
"6017,1994,23,2,1,""Srodmiescie"""
"2673,1962,138,1,5,""Wola"""
"3857,1994,49,8,3,""Mokotow"""
"3671,1927,58,6,3,""Ursus"""
"3587,1952,61,1,2,""Ursynow"""
"2755,1938,125,2,4,""Ursynow"""
"4253,1999,40,3,1,""Bemowo"""
"1965,1969,149,7,5,""Ursus"""
"3308,2009,99,5,4,""Ursus"""
"4452,2000,40,10,1,""Mokotow"""
"3401,1975,75,1,3,""Ursus"""
"2914,1980,44,10,1,""Ursynow"""
"3505,1972,34,5,1,""Ursus"""
"5665,2001,84,4,4,""Srodmiescie"""
"4083,2009,67,10,3,""Mokotow"""
"4618,2005,93,2,3,""Ochota"""
"4450,1989,60,1,3,""Ochota"""
"3456,1999,149,7,5,""Ochota"""
"4405,1956,150,3,6,""Srodmiescie"""
"5454,1971,60,3,3,""Srodmiescie"""
"3589,2004,86,4,3,""Wola"""
"3403,2004,90,5,4,""Ursynow"""
"2320,2004,143,10,5,""Wola"""
"3724,1959,63,8,3,""Zoliborz"""
"3075,1991,147,5,5,""Zoliborz"""
"3501,1954,40,4,2,""Bemowo"""
"3386,1955,66,2,3,""Ursynow"""
"2955,1966,95,3,4,""Wola"""
"4587,1928,71,5,2,""Ochota"""
"4114,1999,119,4,4,""Zoliborz"""
"2114,1961,144,6,5,""Bielany"""
"2600,1940,85,8,3,""Praga"""
"3027,2010,122,5,5,""Bemowo"""
"4446,1926,30,2,1,""Ursus"""
"3775,2007,78,3,3,""Ursynow"""
"3529,1946,67,1,2,""Ursus"""
"2495,1956,76,10,3,""Ursynow"""
"3156,1999,99,7,3,""Wola"""
"2742,1932,141,6,5,""Ursus"""
"4303,2008,25,4,1,""Ursynow"""
"2859,1964,124,1,4,""Wola"""
"3106,1961,69,5,2,""Wola"""
"2108,1985,144,6,5,""Ursus"""
"4193,2007,61,1,2,""Praga"""
"3211,1981,89,1,4,""Ursynow"""
"3548,2003,125,9,4,""Zoliborz"""
"5838,1996,56,6,2,""Srodmiescie"""
"4249,1952,130,7,5,""Srodmiescie"""
"3841,1969,71,6,3,""Zoliborz"""
"4074,1987,78,3,3,""Mokotow"""
"3314,1947,74,2,3,""Bemowo"""
"3353,1993,25,7,2,""Bielany"""
"4010,1933,59,3,2,""Ursynow"""
"3037,1938,51,7,3,""Bielany"""
"3182,1973,62,5,2,""Bemowo"""
"3999,1998,85,9,3,""Ochota"""
"2879,1937,117,1,5,""Ursynow"""
"2761,1970,109,3,5,""Bielany"""
"3739,1959,76,6,4,""Zoliborz"""
"3432,1983,57,3,2,""Ursus"""
"3150,2009,115,5,4,""Wola"""
"3696,1929,90,2,4,""Praga"""
"2692,1989,111,4,4,""Ursus"""
"3979,1958,22,1,2,""Ursus"""
"3489,1987,106,5,5,""Mokotow"""
"3448,1970,105,6,4,""Mokotow"""
"2587,2005,121,10,4,""Bielany"""
"3377,2002,67,8,3,""Ursus"""
"4096,1994,20,9,2,""Zoliborz"""
"2787,1973,61,9,2,""Ursynow"""
"2626,1970,127,3,4,""Wola"""
"2154,1970,140,6,5,""Ursynow"""
"2690,1931,121,9,4,""Praga"""
"3868,1945,148,9,5,""Srodmiescie"""
"2575,2008,127,9,5,""Ursus"""
"3617,1968,43,3,1,""Ursus"""
"3542,1948,106,5,4,""Zoliborz"""
"2759,1980,54,10,2,""Bemowo"""
"2088,1945,126,8,5,""Bemowo"""
"3374,1944,23,7,2,""Bielany"""
"4019,1945,73,4,3,""Zoliborz"""
"3615,1966,124,2,5,""Zoliborz"""
"3080,1922,87,9,3,""Ursus"""
"3293,1962,81,10,4,""Mokotow"""
"2257,1953,114,8,4,""Ursus"""
"6328,2004,52,1,3,""Srodmiescie"""
"3593,1929,136,7,5,""Zoliborz"""
"3741,1924,31,9,1,""Wola"""
"3149,1963,40,8,1,""Ursus"""
"3065,1954,24,10,2,""Praga"""
"3228,1975,137,4,6,""Zoliborz"""
"3524,1955,63,10,3,""Mokotow"""
"3183,1957,42,7,2,""Bielany"""
"3129,1931,72,10,3,""Praga"""
"3551,1929,130,8,5,""Ochota"""
"5330,1960,57,5,2,""Srodmiescie"""
"3750,1971,40,2,1,""Praga"""
"3101,2007,110,6,4,""Ursynow"""
"3123,2004,103,7,3,""Praga"""
"3580,1922,102,2,4,""Praga"""
"5532,1985,62,2,3,""Srodmiescie"""
"3464,1945,104,6,4,""Zoliborz"""
"4828,1934,72,2,3,""Ochota"""
"3355,1944,25,7,2,""Ursynow"""
"4155,2004,60,1,3,""Ursus"""
"5810,1971,24,4,1,""Srodmiescie"""
"1929,1947,142,8,5,""Wola"""
"2390,1980,106,7,5,""Wola"""
"2740,1982,56,10,2,""Praga"""
"4404,1980,60,2,2,""Ochota"""
"3710,1987,64,8,3,""Mokotow"""
"2894,1936,51,9,2,""Praga"""
"2101,1973,145,6,5,""Bielany"""
"4596,1999,25,10,1,""Zoliborz"""
"2570,1985,138,2,5,""Wola"""
"4891,1983,26,1,1,""Ochota"""
"2657,1983,69,9,3,""Bielany"""
"2576,1959,107,5,5,""Bielany"""
"2545,1959,141,2,5,""Ursynow"""
"2833,1963,87,5,4,""Praga"""
"6006,1960,34,1,1,""Srodmiescie"""
"4408,1964,124,6,5,""Srodmiescie"""
"3392,1972,61,3,2,""Wola"""
"1607,1985,149,10,6,""Praga"""
"2238,1948,136,5,6,""Bemowo"""
"4668,1922,98,1,3,""Mokotow"""
"2666,1948,113,4,4,""Ursynow"""
"2760,1941,114,3,4,""Praga"""
"4731,1937,117,4,4,""Srodmiescie"""
"4768,1949,23,2,2,""Zoliborz"""
"3486,1982,106,5,5,""Zoliborz"""
"1808,1980,144,9,5,""Bielany"""
"3498,1949,120,4,4,""Ochota"""
"2564,1961,149,1,5,""Praga"""
"4067,1922,93,7,4,""Zoliborz"""
"3477,1968,27,6,1,""Bielany"""
"2048,1957,140,7,5,""Ursynow"""
"4065,1925,74,10,2,""Ochota"""
"5139,1978,91,3,3,""Srodmiescie"""
"6355,1921,44,2,2,""Srodmiescie"""
"3422,1921,48,10,2,""Bemowo"""
"3098,1980,85,3,3,""Bemowo"""
"4192,1942,36,7,1,""Zoliborz"""
"3327,1992,112,6,5,""Mokotow"""
